Order_ID,Latitude,Longitude,Distance_m,Delivery_Time_min,Demand
0,12.981751,77.645133,1410.8099999931435,10.19,2
1,12.9773153,77.6457877,1415.774154257862,10.87,2
2,12.9839104,77.6418741,569.5452767546349,5.46,1
3,12.9800978,77.6463327,1390.5373608566342,10.81,3
4,12.9801644,77.6467168,1432.8098279057926,11.85,1
5,12.9838303,77.6413992,517.1883482653884,6.66,4
6,12.9771543,77.6409843,1009.172808942161,7.2,5
7,12.9785359,77.6465944,1370.6926920828075,8.94,4
8,12.9766773,77.6422253,1197.925298204762,10.44,3
9,12.9766977,77.642817,1262.0792622785934,10.92,5
10,12.9801644,77.6467168,1432.8098279057926,11.55,3
11,12.9824434,77.6407004,420.2260675371919,5.98,1
12,12.9768017,77.6459938,1492.6895669079856,11.81,5
13,12.9812344,77.6446497,1210.304162973909,10.17,2
14,12.980099,77.6443666,974.3834405292068,8.0,2
15,12.9820337,77.6413737,537.1266843494586,6.0,4
16,12.975663,77.6416813,1244.8534000758907,9.29,3
17,12.9814761,77.6432035,745.930072685612,7.25,1
18,12.9799812,77.6408488,694.4827552786822,5.72,3
19,12.9829422,77.6373708,0.0,2.93,1
20,12.9811758,77.6430774,751.4331742566142,6.75,1
21,12.9838303,77.6413992,517.1883482653884,6.03,3
22,12.9791523,77.643048,1023.598723937867,9.24,5
23,12.9812846,77.6428429,723.2911700628055,6.93,4
24,12.979992,77.6411705,729.3608900703565,8.39,1
25,12.981751,77.645133,1410.8099999931435,9.52,4
26,12.9786249,77.6466522,1368.4447114446618,10.21,1
27,12.980755,77.6391992,428.842160723893,6.64,2
28,12.9812422,77.6442343,856.7459747359477,7.7,5
29,12.9821338,77.6458898,1309.0749709973093,10.83,3
30,12.9784527,77.6441879,1125.573119952423,8.62,5
31,12.9823263,77.6386724,200.10104739012536,5.11,1
32,12.9824117,77.6457626,1269.477906057098,9.99,2
33,12.9778445,77.6457576,1356.8393981236954,11.73,1
34,12.9766773,77.6422253,1197.925298204762,9.84,1
35,12.9778445,77.6457576,1356.8393981236954,9.09,1
36,12.9821338,77.6458898,1309.0749709973093,11.49,3
37,12.981155,77.6461024,1420.323825229343,9.53,2
38,12.9766773,77.6422253,1197.925298204762,8.23,5
39,12.9828791,77.6374502,15.556871069506306,3.51,5
40,12.9815832,77.6396508,390.3176887323678,5.37,2
41,12.9815501,77.6391718,340.38111558443416,6.11,3
42,12.980755,77.6391992,428.842160723893,6.56,4
43,12.9768017,77.6459938,1492.6895669079856,10.48,1
44,12.9823411,77.6413923,502.8859532981393,7.44,5
45,12.9815561,77.6442083,821.7283320868477,7.53,3
46,12.9811758,77.6430774,751.4331742566142,6.73,4
47,12.9816132,77.6400865,437.6448877082429,6.39,4
48,12.9838303,77.6413992,517.1883482653884,5.32,2
49,12.9812376,77.6460148,1285.2032298646702,10.1,5
50,12.9773209,77.6459638,1434.8656370230456,9.87,5
51,12.9792336,77.6456412,1201.8142200881307,8.85,4
52,12.9756441,77.6410581,1177.2933692196339,10.79,4
53,12.9807946,77.6461102,1238.414144391507,11.12,2
54,12.9768017,77.6459938,1492.6895669079856,10.3,1
55,12.9772197,77.6427879,1204.7412377610362,8.23,3
56,12.9785034,77.6428734,1058.43808567763,9.29,2
57,12.9801829,77.6455364,1101.4786094042577,9.42,2
58,12.9801438,77.6458481,1143.262168480446,9.41,2
59,12.9827188,77.6456914,1234.46928625638,10.53,1
60,12.9833621,77.6417663,601.2678868738494,7.08,4
61,12.975663,77.6416813,1244.8534000758907,11.01,4
62,12.9785419,77.6466626,1377.7424460939544,11.86,3
63,12.981648,77.6451308,1422.2655740558423,10.96,3
64,12.9823411,77.6413923,502.8859532981393,5.3,3
65,12.9801829,77.6455364,1101.4786094042577,7.6,4
66,12.9784527,77.6441879,1125.573119952423,8.08,2
67,12.9801438,77.6458481,1143.262168480446,9.99,5
68,12.9833621,77.6417663,601.2678868738494,5.01,2
69,12.9829593,77.6374258,6.255383527314924,4.83,3
70,12.9812422,77.6442343,856.7459747359477,9.07,2
71,12.9822659,77.6376268,86.60837427808954,5.26,1
72,12.9812344,77.6446497,1210.304162973909,9.87,2
73,12.9766588,77.6416443,1134.9372466437687,8.96,3
74,12.9756821,77.6422676,1308.4178797492336,9.87,4
75,12.9804944,77.6470581,1494.0677005278576,9.62,2
